,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (°C),Air temperature (°F),Ta_h (°C),Ta_h (°F),Ta_m (°C),Ta_m (°F),Ta_l (°C),Ta_l (°F),Operative temperature (°C),Operative temperature (°F),Radiant temperature (°C),Radiant temperature (°F),Globe temperature (°C),Globe temperature (°F),Tg_h (°C),Tg_h (°F),Tg_m (°C),Tg_m (°F),Tg_l (°C),Tg_l (°F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject´s height (cm),Subject´s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (°C),Outdoor monthly air temperature (°F),Database
68,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,39,NA,-1,1,no change,NA,no change,5,-0.4,9,24.24,0.57,1,NA,NA,NA,NA,25,76.9,25,76.9,24.9,76.9,25,77,NA,NA,NA,NA,25,76.9,25,76.9,24.8,76.7,24.8,76.7,36,NA,NA,0.12,23.03,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
69,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,32,NA,-1,1,warmer,NA,less,3.5,0.8,17,28.42,0.57,1.7,NA,NA,NA,NA,24.7,76.5,24.7,76.5,24.8,76.6,24.8,76.7,NA,NA,NA,NA,24.8,76.6,24.8,76.6,24.7,76.5,24.7,76.5,42.2,NA,NA,0.1,20.51,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
70,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,41,NA,0.5,1,cooler,NA,no change,3.5,NA,NA,NA,0.57,NA,NA,NA,NA,NA,25,77,25,77,25,77,25.1,77.1,NA,NA,NA,NA,24.9,76.9,24.9,76.9,24.9,76.8,24.9,76.8,40.9,NA,NA,0.11,21.08,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
71,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,32,NA,-1,1,no change,NA,less,4.5,0.2,6,26.02,0.57,1.4,NA,NA,NA,NA,24.6,76.3,24.6,76.3,24.5,76.2,24.6,76.3,NA,NA,NA,NA,24.6,76.3,24.6,76.3,24.5,76.1,24.5,76.1,38.4,NA,NA,0.14,27.71,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
72,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,35,NA,0,1,no change,NA,less,5,-0.5,10,24.01,0.57,1,NA,NA,NA,NA,24.7,76.5,24.7,76.5,24.7,76.5,24.8,76.6,NA,NA,NA,NA,24.7,76.4,24.7,76.4,24.6,76.3,24.6,76.3,39.4,NA,NA,0.11,21.86,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
73,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,37,NA,1,1,cooler,NA,more,3,NA,NA,NA,0.57,NA,NA,NA,NA,NA,24.2,75.6,24.2,75.6,24.1,75.4,24.2,75.5,NA,NA,NA,NA,24.4,75.9,24.4,75.9,24.3,75.8,24.3,75.8,40.2,NA,NA,0.18,34.93,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
74,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,43,NA,-0.5,1,no change,NA,no change,4.5,NA,NA,NA,0.57,NA,NA,NA,NA,NA,24.1,75.4,24.1,75.4,24.1,75.3,24.1,75.5,NA,NA,NA,NA,24.2,75.6,24.2,75.6,24,75.2,24,75.3,37.5,NA,NA,0.14,26.67,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
75,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,36,NA,-0.5,1,warmer,NA,less,4.5,NA,NA,NA,0.57,NA,NA,NA,NA,NA,24.2,75.5,24.2,75.5,24.1,75.4,24.2,75.5,NA,NA,NA,NA,24.2,75.5,24.2,75.5,24.1,75.3,24.1,75.4,37.5,NA,NA,0.19,38.06,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
76,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,34,NA,0,1,no change,NA,no change,4,-1.3,43,21.72,0.54,1,NA,NA,NA,NA,23.3,74,23.3,74,23.4,74,23.3,73.9,NA,NA,NA,NA,23.1,73.5,23.1,73.5,22.9,73.3,23,73.4,40.8,NA,NA,0.17,32.75,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
77,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,26,NA,0,1,no change,NA,no change,3.5,0.3,7,26.31,0.54,1.7,NA,NA,NA,NA,23.4,74.1,23.4,74.1,23.3,74,23.3,74,NA,NA,NA,NA,22.9,73.2,22.9,73.2,22.8,73.1,22.8,73.1,39.1,NA,NA,0.11,21.69,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
78,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,31,NA,-1.5,0,warmer,NA,no change,2.5,-1,27,22.24,0.54,1.1,NA,NA,NA,NA,23.2,73.8,23.2,73.8,23.2,73.8,23.3,73.9,NA,NA,NA,NA,23,73.3,23,73.3,22.9,73.2,22.9,73.2,45.2,NA,NA,0.13,25.87,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
79,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,27,NA,0.5,1,no change,NA,no change,4.5,-0.8,18,22.86,0.54,1.1,NA,NA,NA,NA,24.1,75.4,24.1,75.4,24,75.2,24.1,75.3,NA,NA,NA,NA,23.6,74.4,23.6,74.4,23.3,74,23.4,74.1,37.6,NA,NA,0.15,29.61,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
80,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,22,NA,0,1,no change,NA,no change,3.5,-1.2,37,21.39,0.54,1.1,NA,NA,NA,NA,22.9,73.2,22.9,73.2,22.9,73.3,22.9,73.2,NA,NA,NA,NA,22.8,73.1,22.8,73.1,22.8,73.1,22.9,73.1,48.9,NA,NA,0.26,51.15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
81,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,39,NA,0,1,no change,NA,no change,3.5,-1.5,51,21.22,0.54,1,NA,NA,NA,NA,23.2,73.7,23.2,73.7,23.1,73.6,23.1,73.5,NA,NA,NA,NA,23,73.4,23,73.4,22.9,73.3,22.9,73.3,42.2,NA,NA,0.21,42.09,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
82,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,46,NA,-1,0,warmer,NA,no change,3.5,-0.6,13,23.31,0.61,1.1,NA,NA,NA,NA,24,75.2,24,75.2,24,75.3,24,75.2,NA,NA,NA,NA,23.4,74,23.4,74,23.2,73.8,23.2,73.8,41,NA,NA,0.14,27.94,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
83,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,35,NA,0,1,no change,NA,no change,3.5,-0.8,18,23.3,0.61,1,NA,NA,NA,NA,24.4,75.9,24.4,75.9,24.3,75.8,24.3,75.7,NA,NA,NA,NA,23.9,75,23.9,75,23.7,74.7,23.7,74.7,37.4,NA,NA,0.14,26.63,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
84,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,27,NA,-0.5,0,warmer,NA,no change,2.5,-0.4,8.36,24.08,0.61,1.1,NA,NA,NA,NA,24.2,75.5,24.2,75.5,24,75.2,24,75.2,NA,NA,NA,NA,23.8,74.9,23.8,74.9,23.8,74.8,23.8,74.8,50,NA,NA,0.14,27.16,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
