,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (°C),Air temperature (°F),Ta_h (°C),Ta_h (°F),Ta_m (°C),Ta_m (°F),Ta_l (°C),Ta_l (°F),Operative temperature (°C),Operative temperature (°F),Radiant temperature (°C),Radiant temperature (°F),Globe temperature (°C),Globe temperature (°F),Tg_h (°C),Tg_h (°F),Tg_m (°C),Tg_m (°F),Tg_l (°C),Tg_l (°F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject´s height (cm),Subject´s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (°C),Outdoor monthly air temperature (°F),Database
46,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,41,NA,0,1,no change,NA,no change,3.5,-0.6,13,23.4,0.61,1.1,NA,NA,NA,NA,23.6,74.5,23.6,74.5,23.5,74.3,23.7,74.6,NA,NA,NA,NA,23.6,74.4,23.6,74.4,23.5,74.2,23.5,74.3,41.8,NA,NA,0.17,32.94,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
47,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,43,NA,1,1,cooler,NA,no change,5,-0.4,9,23.91,0.61,1.1,NA,NA,NA,NA,24.8,76.7,24.8,76.7,25,77,25.2,77.4,NA,NA,NA,NA,24.9,76.8,24.9,76.8,24.5,76.1,24.6,76.2,36.9,NA,NA,0.2,40.26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,31.7,89,Database 2
48,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,32,NA,0,1,cooler,NA,no change,5,-0.8,19,22.62,0.61,1.1,NA,NA,NA,NA,24.3,75.7,24.3,75.7,24.2,75.5,24.3,75.8,NA,NA,NA,NA,24.1,75.4,24.1,75.4,24.2,75.5,24.2,75.5,42.6,NA,NA,0.28,55.52,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
49,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,38,NA,0,1,cooler,NA,more,4,-0.8,17,22.92,0.61,1.1,NA,NA,NA,NA,24.1,75.4,24.1,75.4,23.9,75.1,24.1,75.4,NA,NA,NA,NA,23.9,75,23.9,75,24,75.1,24,75.2,43.6,NA,NA,0.21,42,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
50,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,48,NA,-1,1,no change,NA,no change,5,-0.8,19,22.76,0.61,1.1,NA,NA,NA,NA,24,75.2,24,75.2,23.9,75.1,24.1,75.3,NA,NA,NA,NA,23.9,75,23.9,75,23.8,74.8,23.8,74.9,44.1,NA,NA,0.23,46,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
51,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,43,NA,1,0,cooler,NA,more,4,-0.9,21,22.43,0.61,1.1,NA,NA,NA,NA,24.6,76.4,24.6,76.4,24.9,76.7,25,77,NA,NA,NA,NA,24.4,75.9,24.4,75.9,24,75.2,24.1,75.3,34.5,NA,NA,0.34,67.76,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,31.7,89,Database 2
52,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,38,NA,-1,1,no change,NA,no change,5,-0.8,18,23,0.61,1.1,NA,NA,NA,NA,23.4,74,23.4,74,23.4,74,23.4,74.2,NA,NA,NA,NA,23.3,74,23.3,74,23.3,74,23.4,74.1,43.9,NA,NA,0.15,30.14,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
53,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,34,NA,0,1,no change,NA,more,5,-0.8,17,23.01,0.61,1.1,NA,NA,NA,NA,23.9,75,23.9,75,23.8,74.9,24,75.2,NA,NA,NA,NA,23.8,74.8,23.8,74.8,23.7,74.6,23.7,74.7,43.2,NA,NA,0.19,37.56,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
54,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,23,NA,1,0,cooler,NA,more,3,-0.6,14,23.65,0.61,1,NA,NA,NA,NA,24.7,76.4,24.7,76.4,24.9,76.9,25.1,77.1,NA,NA,NA,NA,24.5,76.1,24.5,76.1,24,75.2,24.1,75.3,39.5,NA,NA,0.18,35.27,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,31.7,89,Database 2
55,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,27,NA,0,1,no change,NA,no change,5,-0.8,20,22.72,0.54,1.1,NA,NA,NA,NA,24,75.1,24,75.1,23.8,74.8,24,75.1,NA,NA,NA,NA,23.9,75,23.9,75,23.8,74.8,23.8,74.9,34.8,NA,NA,0.21,40.48,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
56,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,43,NA,-0.5,1,warmer,NA,less,4,-1,26,22.8,0.57,1,NA,NA,NA,NA,23.9,74.9,23.9,74.9,23.7,74.7,23.9,75,NA,NA,NA,NA,23.8,74.9,23.8,74.9,23.7,74.7,23.8,74.8,35.6,NA,NA,0.16,31.96,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,28.9,84,Database 2
57,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,31,NA,0,1,no change,NA,no change,5,-0.3,7,24.33,0.67,1.1,NA,NA,NA,NA,24,75.2,24,75.2,23.8,74.8,24,75.1,NA,NA,NA,NA,23.8,74.9,23.8,74.9,23.7,74.7,23.8,74.8,35.3,NA,NA,0.11,21.95,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,29.4,85,Database 2
